Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,"Метод исследования 
(указывается при необходимости)
",Раздел,Подраздел,Синонимы русский,Синонимы английский
,,Кровь венозная с ЭДТА,(%),1.0,5.0,Дети (6 - 8 лет),,,,,,,
,,Кровь венозная с ЭДТА,(%),1.50,4.50,Дети (8 – 9 лет),,,,,,,
,,Кровь венозная с ЭДТА,(%),1.0,5.0,Дети (9-10 лет),,,,,,,
,,Кровь венозная с ЭДТА,(%),1.50,4.50,Дети (10 – 11 лет),,,,,,,
,,Кровь венозная с ЭДТА,(%),1.0,5.0,Дети (11 – 15 лет),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.20,5.80,Мужчины (17 – 31 год),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.20,5.40,Женщины (17 – 31 год),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.35,5.25,Мужчины (31 – 41 год),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.20,5.0,Женщины (31 – 41 год),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.40,5.80,Мужчины (41 – 51 год),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.30,4.70,Женщины (41 – 51 год),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.10,5.30,Мужчины (51 – 61 год),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.30,5.40,Женщины (51 – 61 год),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.20,5.20,Мужчины (61 – 150 лет),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.10,5.10,Женщины (61 – 150 лет),,,,,,,
,Базофилы (Ba) абсолютное количество (#),Кровь венозная с ЭДТА,(х10^3/мл),0.1,0.8,,,,,,,"Базофилы (абс), Общий анализ крови; Ba#, Общий анализ крови; Абсолютные базофилы, Общий анализ крови; Absolute basophils, Общий анализ крови; Basophil count, Общий анализ крови","Basophils (abs), General blood analysis; Absolute basophils, General blood analysis; Ba#, General blood analysis; Basophil count, General blood analysis; Total basophils, General blood analysis"
,Базофилы (Ba) относительное количество (%),Кровь венозная с ЭДТА,(%),0.20,1.20,Мужчины,,,,,,"Базофилы (%), Общий анализ крови; Ba%, Общий анализ крови; Относительные базофилы, Общий анализ крови; Relative basophils, Общий анализ крови; Basophil percentage, Общий анализ крови","Basophils (%), General blood analysis; Relative basophils, General blood analysis; Ba%, General blood analysis; Basophil proportion, General blood analysis; Percent basophils, General blood analysis"
,,Кровь венозная с ЭДТА,(%),0.10,1.20,Женщины,,,,,,,
,Незрелые гранулоциты абсолютное количество (#),Кровь венозная с ЭДТА,(x10^9/л),0.0,0.59,Дети (0 – 3 дня),,,,,,"Незрелые гранулоциты (абс), Общий анализ крови; IG#, Общий анализ крови; Абсолютные незрелые гранулоциты, Общий анализ крови; Immature granulocytes count, Общий анализ крови; Absolute immature neutrophils, Общий анализ крови","Immature granulocytes (abs), General blood analysis; IG#, General blood analysis; Absolute immature granulocytes, General blood analysis; Count of immature PMNs, General blood analysis; Total immature granulocytes, General blood analysis"
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.45,Дети (3 – 7 дней),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.27,Дети (7 – 14 дней),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.22,Дети (14 – 30 дней),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.9,Дети (30 – 90 дней),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.6,Дети (90 – 180),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.14,Дети (180 дней – 2 года),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.6,Дети (2 – 6 лет),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.4,Дети (6 – 12 лет),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.3,Дети (12 – 18 лет),,,,,,,
,,Кровь венозная с ЭДТА,(x10^9/л),0.0,0.9,Взрослые (18 – 150),,,,,,,
,Незрелые гранулоциты относительное количество (%),Кровь венозная с ЭДТА,(%),0.0,1.70,Дети (0 – 2 дня),,,,,,"Незрелые гранулоциты (%), Общий анализ крови; IG%, Общий анализ крови; Относительные незрелые гранулоциты, Общий анализ крови; Relative immature granulocytes, Общий анализ крови; Proportion of immature PMNs, Общий анализ крови","Immature granulocytes (%), General blood analysis; IG%, General blood analysis; Relative immature granulocytes, General blood analysis; Percent immature PMNs, General blood analysis; Fraction of immature granulocytes, General blood analysis"
,,Кровь венозная с ЭДТА,(%),0.0,1.90,Дети (2 – 14 дней),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.0,1.30,Дети (14 – 30 дней),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.0,0.90,Дети (30 – 90 дней),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.0,0.50,Дети (90 – 180 дней),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.0,0.90,Дети (180 дней – 2 года),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.0,0.80,Дети (2 – 6 лет),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.0,0.30,Дети (6 – 18 лет),,,,,,,
,,Кровь венозная с ЭДТА,(%),0.0,0.60,Взрослые (18 – 150 лет),,,,,,,
,Нормобласты,Кровь венозная с ЭДТА,относительное количество (%) – не обнаружено,(%).0,0.0,,,,,,,"Нормобласты, Общий анализ крови; Эритробласты, Общий анализ крови; Ядерные предшественники эритроцитов, Общий анализ крови; Nucleated red cells, Общий анализ крови; NRBC, Общий анализ крови","Normoblasts, General blood analysis; Erythroblasts, General blood analysis; Nucleated RBC precursors, General blood analysis; NRBC, General blood analysis; Red cell precursors, General blood analysis"
,Ретикулоциты относительное количество (%),Кровь венозная с ЭДТА,(%),0.90,2.22,Мужчины,,,,,,"Ретикулоциты (%), Общий анализ крови; RET%, Общий анализ крови; Относительные ретикулоциты, Общий анализ крови; Relative reticulocytes, Общий анализ крови; Reticulocyte percentage, Общий анализ крови","Reticulocytes (%), General blood analysis; RET%, General blood analysis; Relative reticulocytes, General blood analysis; Percent reticulocytes, General blood analysis; Reticulocyte proportion, General blood analysis"
,,Кровь венозная с ЭДТА,(%),0.76,2.21,Женщины,,,,,,,
,Ретикулоциты абсолютное количество (#),Кровь венозная с ЭДТА,(x10^9/л),46.40,121.20,Мужчины,,,,,,"Ретикулоциты (абс), Общий анализ крови; RET#, Общий анализ крови; Абсолютные ретикулоциты, Общий анализ крови; Absolute reticulocytes, Общий анализ крови; Total reticulocytes, Общий анализ крови","Reticulocytes (abs), General blood analysis; RET#, General blood analysis; Absolute reticulocytes, General blood analysis; Reticulocyte count, General blood analysis; Total reticulocytes, General blood analysis"
,,Кровь венозная с ЭДТА,(x10^9/л),33.10,101.50,Женщины,,,,,,,
,Ретикулоциты низкой флюоресценции (LFR),Кровь венозная с ЭДТА,(%),87.20,97.90,Мужчины,,,,,,"LFR, Общий анализ крови; Ретикулоциты с низкой флюоресценцией, Общий анализ крови; Low fluorescence reticulocytes, Общий анализ крови; Малоактивные ретикулоциты, Общий анализ крови; Незрелые ретикулоциты (низкие), Общий анализ крови","LFR, General blood analysis; Low fluorescence reticulocytes, General blood analysis; Low RNA reticulocytes, General blood analysis; Less mature reticulocytes, General blood analysis; Early reticulocytes, General blood analysis"
,,Кровь венозная с ЭДТА,(%),87.0,98.60,Женщины,,,,,,,
,Фракция незрелых ретикулоцитов (IRF),Кровь венозная с ЭДТА,(%),3.30,13.20,Мужчины,,,,,,"IRF, Общий анализ крови; Индекс незрелых ретикулоцитов, Общий анализ крови; Immature reticulocyte fraction, Общий анализ крови; Доля молодых ретикулоцитов, Общий анализ крови; Сумма MFR + HFR, Общий анализ крови","IRF, General blood analysis; Immature reticulocyte fraction, General blood analysis; Fraction of immature reticulocytes, General blood analysis; Sum of MFR+HFR, General blood analysis; Reticulocyte maturity index, General blood analysis"
,,Кровь венозная с ЭДТА,(%),3.10,13.50,Женщины,,,,,,,
,Ретикулоциты средней флюоресценции (MFR),Кровь венозная с ЭДТА,(%),3.20,11.30,Мужчины,,,,,,"MFR, Общий анализ крови; Ретикулоциты со средней флюоресценцией, Общий анализ крови; Medium fluorescence reticulocytes, Общий анализ крови; Умеренно зрелые ретикулоциты, Общий анализ крови; Промежуточные ретикулоциты, Общий анализ крови","MFR, General blood analysis; Medium fluorescence reticulocytes, General blood analysis; Moderately mature reticulocytes, General blood analysis; Intermediate reticulocytes, General blood analysis; Mid-stage reticulocytes, General blood analysis"
,,Кровь венозная с ЭДТА,(%),2.80,12.40,Женщины,,,,,,,
,Ретикулоциты сильной флюоресценции (HFR),Кровь венозная с ЭДТА,(%),0.20,1.40,Мужчины,,,,,,"HFR, Общий анализ крови; Ретикулоциты с высокой флюоресценцией, Общий анализ крови; High fluorescence reticulocytes, Общий анализ крови; Зрелые ретикулоциты, Общий анализ крови; Высокоактивные ретикулоциты, Общий анализ крови","HFR, General blood analysis; High fluorescence reticulocytes, General blood analysis; Highly immature reticulocytes, General blood analysis; High RNA reticulocytes, General blood analysis; Late immature reticulocytes, General blood analysis"
,,Кровь венозная с ЭДТА,(%),0.10,1.50,Женщины,,,,,,,
,Содержание гемоглобина в ретикулоците,Кровь венозная с ЭДТА,(пг),31.20,36.20,Мужчины,,,,,,"Гемоглобин в ретикулоците, Общий анализ крови; CHr, Общий анализ крови; Среднее содержание Hb в ретикулоците, Общий анализ крови; Mean hemoglobin content in reticulocytes, Общий анализ крови; Retic-Hb, Общий анализ крови","Hemoglobin content in reticulocyte, General blood analysis; CHr, General blood analysis; Mean Hb per reticulocyte, General blood analysis; Reticulocyte Hb content, General blood analysis; Retic-Hb, General blood analysis"
,,Кровь венозная с ЭДТА,(пг),30.20,35.60,Женщины,,,,,,,
,Дельта-гемоглобин – не определено,Кровь венозная с ЭДТА,(%),0.0,0.0,,,,,,,"Дельта-гемоглобин, Общий анализ крови; Гемоглобин A2, Общий анализ крови; Не определено, Общий анализ крови; Delta-Hb – не измеряется, Общий анализ крови; HbA2 – не определён, Общий анализ крови","Delta-hemoglobin, General blood analysis; Hemoglobin A2, General blood analysis; Not measured, General blood analysis; Delta-Hb not assessed, General blood analysis; HbA2 not determined, General blood analysis"
СОЭ,СОЭ,Кровь венозная с ЭДТА,мм/ч,0,10,0-10 лет,,,Метод Вестергрена,общеклинические исследования крови,,"СОЭ, Общий анализ крови; ESR, Общий анализ крови; Реакция оседания эритроцитов, Общий анализ крови; Скорость оседания эритроцитов, Общий анализ крови; Sedimentation rate, Общий анализ крови","ESR, General blood analysis; Sedimentation rate, General blood analysis; Erythrocyte sedimentation rate, General blood analysis; Blood sedimentation rate, General blood analysis; Westergren ESR, General blood analysis"
,,,мм/ч,0,15,11-50 лет муж.,,,,,,,
,,,мм/ч,0,20,11-50 лет жен.,,,,,,,
,,,мм/ч,0,20,51-90 лет муж.,,,,,,,
,,,мм/ч,0,30,51-90 лет жен.,,,,,,,
ТТГ (тиреотропный гормон),ТТГ (тиреотропный гормон),Сыв-ка крови,мМЕ/мл,0.98,5.63,5 дней - 12 месяцев,,,ИХЛА,Гормональные исследования,Щитовидная железа                ,"Тиреотропин,
Тиротропин,
TSH,
Гормон гипофиза (тиреотропный),
Тиреостимулирующий гормон,
ТТГ сывороточный","TSH,
Thyrotropin,
Thyroid-stimulating hormone,
Pituitary thyrotropin,
Serum TSH,
Thyrotropic hormone"
,,,,0.64,5.76,1-6 лет,,,,,,,
,,,,0.51,4.82,7-11 лет,,,,,,,
,,,,0.53,5.27,12-14 лет,,,,,,,
,,,,0.40,4.00,15-90 лет,,,,,,,
Т4 свободный,Т4 свободный,Сыв-ка крови,пмоль/л,11.4,19.5,5 дней - 12 месяцев,,,ИХЛА,,,"Свободный тироксин,
fT4,
Несвязанный Т4,
Тироксин свободная фракция,
Free T4,
Активная форма тироксина","Free Thyroxine,
fT4,
Free T4,
Unbound thyroxine,
Active thyroxine fraction,
Thyroxine free form"
,,,,11.5,20.4,1-6 лет,,,,,,,
,,,,11.2,18.6,7-11 лет,,,,,,,
,,,,10.0,17.7,12-14 лет,,,,,,,
,,,,9.0,19.1,15-90 лет,,,,,,,
Т3 свободный,Т3 свободный,Сыв-ка крови,пмоль/л,4.3,7.8,5 дней - 12 месяцев,,,ИХЛА,,,"Свободный трийодтиронин,
fT3,
Несвязанный Т3,
Трийодтиронин свободная фракция,
Free T3,
Активная форма трийодтиронина","Free Triiodothyronine,
fT3,
Free T3,
Unbound triiodothyronine,
Active triiodothyronine fraction,
Triiodothyronine free form"
,,,,3.8,7.2,1-6 лет,,,,,,,
,,,,4.1,7.1,7-11 лет,,,,,,,
,,,,3.1,6.6,12-14 лет,,,,,,,
,,,,2.63,5.7,15-90 лет,,,,,,,
Антитела к тиреоглобулину (анти-ТГ),Антитела к тиреоглобулину (анти-ТГ),Сыв-ка крови,МЕ/мл,0,4.1,,,,ИХЛА,,,"АТ-ТГ,
Анти-ТГ,
Антитела к ТГ,
Аутоантитела к тиреоглобулину,
Анти-Tg","Anti-Tg,
Anti-thyroglobulin antibodies,
TgAb,
Thyroglobulin autoantibodies,
Anti-TG antibodies"
Антитела к тиреопероксидазе (анти-ТПО),Антитела к тиреопероксидазе (анти-ТПО),Сыв-ка крови,МЕ/мл,0,5.6,,,,ИХЛА,,,"АТ-ТПО,
Анти-ТПО,
Антитела к ТПО,
Антитела к микросомальной фракции,
Анти-микросомальные антитела","Anti-TPO,
Anti-thyroid peroxidase antibodies,
TPOAb,
Anti-microsomal antibodies,
Thyroid microsomal antibodies"
Антитела к рецепторам ТТГ,Антитела к рецепторам ТТГ,Сыв-ка крови,МЕ/л,0,1.0,,,,ИХЛА,,,"АТ-рТТГ,
Анти-рТТГ,
Антитела к TSH-рецептору,
TSH-рецепторные антитела,
ТРАБ","TRAb,
TSH receptor antibodies,
Anti-TSHR,
Thyrotropin receptor antibodies,
TSH-R autoantibodies"
Тиреоглобулин,Тиреоглобулин,Сыв-ка крови,нг/мл,1.6,59,,,,,,,"ТГ,
Тиреоглобулин сывороточный,
Белок-предшественник тиреоидных гормонов,
Маркер ткани щитовидной железы","Thyroglobulin,
Tg,
Serum thyroglobulin,
Thyroid hormone precursor protein,
Thyroid tissue marker"
Т4 общий,Т4 общий,Сыв-ка крови,нмоль/л,101,213,5 дней - 12 месяцев,,,ИХЛА,,,"Тироксин общий,
Тетрайодтиронин,
Тиреоидный гормон Т4,
TT4,
Общий тироксин сыворотки,
Гормон щитовидной железы (основной)","Total Thyroxine,
T4 total,
Tetraiodothyronine,
TT4,
Serum total thyroxine,
Main thyroid hormone"
,,,,94,194,1-6 лет,,,,,,,
,,,,83,172,7-11 лет,,,,,,,
,,,,72,151,12-14 лет,,,,,,,
,,,,62.68,150.83,15-90 лет,,,,,,,
Т3 общий,Т3 общий,Сыв-ка крови,пмоль/л,4.3,7.8,5 дней - 12 месяцев,,,ИХЛА,,,"Трийодтиронин общий,
Тиреоидный гормон Т3,
TT3,
Общий трийодтиронин сыворотки,
Активный тиреоидный гормон","Total Triiodothyronine,
T3 total,
Triiodothyronine,
TT3,
Serum total triiodothyronine,
Active thyroid hormone"
,,,,3.8,7.2,1-6 лет,,,,,,,
,,,,4.1,7.1,7-11 лет,,,,,,,
,,,,3.1,6.6,12-14 лет,,,,,,,
,,,,2.63,5.7,15-90 лет,,,,,,,
Пролактин,Пролактин,Сыв-ка крови,мМЕ/л,264,4468,4 -30 дней,,,ИХЛА,Гормональные исследования,Половые гормоны и белки                ,"Лактотропный гормон,
ЛТГ,
Мамотропин,
Гормон лактации,
ПРЛ,
Пролактин сывороточный,
Гипофизарный лактогенный гормон,
Маркер гиперпролактинемии","Prolactin,
PRL,
Lactotropin,
Mammotropin,
Lactation hormone,
Serum prolactin,
Pituitary lactogenic hormone,
Hyperprolactinemia marker"
,,,,132,2388,1-12 месяцев,,,,,,,
,,,,88,483.86,1-19 лет,,,,,,,
,,,,73,407,20-130 лет муж.,,,,,,,
,,,,109,557.1,20-130 лет жен.,,,,,,,
Лютеинизирующий гормон (ЛГ),Лютеинизирующий гормон (ЛГ),Сыв-ка крови,МЕ/л,0,3.81,4 дня - 3 месяца муж.,,,ИХЛА,,,"ЛГ,
Лютропин,
Гонадотропин-бета,
Гипофизарный гонадотропин II,
Лютеинизирующий гормон сывороточный,
Индуктор овуляции,
Стимулятор синтеза тестостерона,
Маркер гонадотропной функции","Luteinizing hormone (LH),
LH,
Lutropin,
Gonadotropin-beta,
Pituitary gonadotropin II,
Serum luteinizing hormone,
Ovulation inducer,
Testosterone synthesis stimulator,
Gonadotropic function marker"
,,,МЕ/л,1,2.41,4 дня - 3 месяца жен.,,,,,,,
,,,МЕ/л,2,2.89,4 - 12 месяцев муж.,,,,,,,
,,,МЕ/л,3,1.19,4 - 12 месяцев жен.,,,,,,,
,,,МЕ/л,4,0.33,1 - 10 лет муж.,,,,,,,
,,,МЕ/л,5,0.33,1 - 10 лет жен.,,,,,,,
,,,МЕ/л,6,4.34,11-13 лет муж.,,,,,,,
,,,МЕ/л,7,4.34,11-13 лет жен.,,,,,,,
,,,МЕ/л,8,4.11,14 - 15 лет муж.,,,,,,,
,,,МЕ/л,9,6.52,14 - 15 лет жен.,,,,,,,
,,,МЕ/л,10,4.76,16 - 17 лет муж.,,,,,,,
,,,МЕ/л,11,13.08,16 - 17 лет жен.,,,,,,,
,,,МЕ/л,0.57,12.07,18 - 90 лет муж.,,,,,,,
,,,МЕ/л,1.8,11.78,18 - 90 лет жен. фолл.фаза,,,,,,,
,,,МЕ/л,7.59,89.08,19 - 90 лет жен. овул.фаза,,,,,,,
,,,МЕ/л,0.56,14.0,20 - 90 лет жен. лют.фаза,,,,,,,
,,,МЕ/л,5.16,61.99,21 - 90 лет жен. менопауза,,,,,,,
Фолликулостимулирующий гормон (ФСГ),Фолликулостимулирующий гормон (ФСГ),Сыв-ка крови,МЕ/л,0.09,2.41,1-12 месяцев муж.,,,ИХЛА,,,"ФСГ,
Фоллитропин,
Гонадотропин-альфа,
Гипофизарный гонадотропин,
Фолликулостимулирующий гормон сывороточный,
Маркер функции гонад,
Регулятор сперматогенеза/фолликулогенеза","Follicle-stimulating hormone (FSH),
FSH,
Follitropin,
Gonadotropin-alpha,
Pituitary gonadotropin,
Serum follicle-stimulating hormone,
Gonadal function marker,
Spermatogenesis/folliculogenesis regulator"
,,,МЕ/л,0,0.91,1-5 лет муж.,,,,,,,
,,,МЕ/л,0,1.62,6-10 лет муж.,,,,,,,
,,,МЕ/л,0,3.91,11-13 лет муж.,,,,,,,
,,,МЕ/л,0.78,5.1,14-19 лет муж.,,,,,,,
,,,МЕ/л,0.95,11.95,20-90 лет муж.,,,,,,,
,,,МЕ/л,0.38,10.35,1 -12 месяцев жен.,,,,,,,
,,,МЕ/л,0.42,5.45,1-9 лет жен.,,,,,,,
,,,МЕ/л,0.44,4.22,10-11 лет жен.,,,,,,,
,,,МЕ/л,0.26,7.77,12-19 лет жен.,,,,,,,
,,,МЕ/л,3.03,8.08,20- 90 лет жен. фолл.фаза,,,,,,,
,,,МЕ/л,2.55,16.69,20- 90 лет жен. овул.фаза,,,,,,,
,,,МЕ/л,1.38,5.47,20- 90 лет жен. лют.фаза,,,,,,,
,,,МЕ/л,26.72,133.41,20- 90 лет жен. менопауза,,,,,,,
Эстрадиол (Е2),Эстрадиол (Е2),Сыв-ка крови,пмоль/л,0,92,15 дней - 12 месяцев муж.,,,ИХЛА,,,"Е2,
17-β-эстрадиол,
Дигидротеелин,
Эстра-1,3,5(10)-триен-3,17β-диол,
Основной эстроген,
Эстрадиол сывороточный,
Женский половой гормон,
Маркер фолликулярного резерва","Estradiol (E2),
17-beta-estradiol,
Dihydrotheelin,
Estra-1,3,5(10)-triene-3,17β-diol,
Primary estrogen,
Serum estradiol,
Female sex hormone,
Follicular reserve marker"
,,,пмоль/л,0,46,1-11 лет муж.,,,,,,,
,,,пмоль/л,0,95,12-13 лет муж.,,,,,,,
,,,пмоль/л,0,102,14-15 лет муж.,,,,,,,
,,,пмоль/л,0,141,16-19 лет муж.,,,,,,,
,,,пмоль/л,40,162,20-130 лет муж.,,,,,,,
,,,пмоль/л,0,92,15 дней - 12 месяцев жен.,,,,,,,
,,,пмоль/л,0,37,1-11 лет жен.,,,,,,,
,,,пмоль/л,0,176,12 лет жен.,,,,,,,
,,,пмоль/л,39,639,13-14 лет жен.,,,,,,,
,,,пмоль/л,77,921,15-19 лет жен. фолл.фаза,,,,,,,
,,,пмоль/л,140,939,15-19 лет жен. овул.фаза,,,,,,,
,,,пмоль/л,77,939,15-19 лет жен. лют.фаза,,,,,,,
,,,пмоль/л,77,921,20-130 лет жен. фолл.фаза,,,,,,,
,,,пмоль/л,140,2371,20-130 лет жен. овул.фаза,,,,,,,
,,,пмоль/л,77,1145,20-130 лет жен. лют.фаза,,,,,,,
,,,пмоль/л,0,529,20-130 лет жен. менопауза (на ГЗТ),,,,,,,
,,,пмоль/л,0,103,20-130 лет жен. менопауза (без ГЗТ),,,,,,,
Прогестерон,Прогестерон,Сыв-ка крови,нмоль/л,0,2.1,0-12 месяцев муж.,,,ИХЛА,,,"П4,
Прогестин,
Гормон жёлтого тела,
Лютеиновый гормон,
Гестаген,
Прогестерон сывороточный,
Гормон беременности","Progesterone,
P4,
Corpus luteum hormone,
Luteal hormone,
Gestagen,
Serum progesterone,
Pregnancy hormone"
,,,нмоль/л,0,1.1,1-10 лет муж.,,,,,,,
,,,нмоль/л,0.4,2.7,11 -15 лет муж.,,,,,,,
,,,нмоль/л,0.5,1.8,16-19 лет муж.,,,,,,,
,,,нмоль/л,0.32,0.65,20 - 90 лет муж.,,,,,,,
,,,нмоль/л,0,4.2,0-12 месяцев жен.,,,,,,,
,,,нмоль/л,0,1.1,1-10 лет жен.,,,,,,,
,,,нмоль/л,0.4,2.7,11 -15 лет жен.,,,,,,,
,,,нмоль/л,0.64,32.62,16-19 лет жен. при отсутвии цикла,,,,,,,
,,,нмоль/л,0.32,0.95,16-19 лет жен. фолл.фаза,,,,,,,
,,,нмоль/л,3.8,50.6,16-19 лет жен. лют. фаза,,,,,,,
,,,нмоль/л,0.32,2.23,20 - 90 лет жен. фолл.фаза,,,,,,,
,,,нмоль/л,0.92,4.13,20 - 90 лет жен. овул.фаза,,,,,,,
,,,нмоль/л,1.91,56.64,20 - 90 лет жен. лют.фаза,,,,,,,
,,,нмоль/л,0.32,0.64,20 - 90 лет жен. менопуза,,,,,,,
,,,нмоль/л,9.0,468.0,беременность 1-14 недель,,,,,,,
,,,нмоль/л,71.5,303.0,беременность 15-26 недель,,,,,,,
,,,нмоль/л,89.0,772.0,беременность 27-42 недель,,,,,,,
17-ОН-прогестерон,17-ОН-прогестерон,Сыв-ка крови,нмоль/л,0.2,2.3,Новорожденные,,,ИФА,,,"17-ОП,
17-гидроксипрогестерон,
17-OH-прогестерон,
17-OHP,
17α-гидроксипрогестерон,
Прогестерон-17-ОН,
Стероидный промежуточный метаболит","17-OH-progesterone,
17-hydroxyprogesterone,
17-OHP,
17α-hydroxyprogesterone,
Progesterone-17-OH,
Steroid intermediate metabolite"
,,,нмоль/л,0.64,2.54,1-10 лет,,,,,,,
,,,нмоль/л,0.2,8.1,11-17 лет муж.,,,,,,,
,,,нмоль/л,1.4,11.4,11-17 лет жен.,,,,,,,
,,,нмоль/л,0.64,9.86,18-90 лет муж.,,,,,,,
,,,нмоль/л,1.28,4.83,18-90 лет жен. фолл.фаза,,,,,,,
,,,нмоль/л,3.18,14.34,18-90 лет жен. лют.фаза,,,,,,,
,,,нмоль/л,0.64,2.86,18-90 лет жен. менопауза,,,,,,,
,,,нмоль/л,4.0,10.0,Беременность 1-7 неделя,,,,,,,
,,,нмоль/л,3.0,9.0,Беременность 8-15 неделя,,,,,,,
,,,нмоль/л,5.0,14.0,Беременность 16-25 неделя,,,,,,,
,,,нмоль/л,6.0,31.0,Беременность 16-34 неделя,,,,,,,
,,,нмоль/л,8.0,36.0,Беременность 35-40 неделя,,,,,,,
Ингибин В,Ингибин В,Сыв-ка крови,пг/мл,4,352,"0-18 лет, муж.",,,Иммуноферментный анализ (ИФА).,,,"Ингибин Б,
Ингибин-Б,
Гормон ингибин В,
ИнгБ,
Inhibin B,
Сывороточный ингибин В,
Фолликулярный ингибин,
Маркер функции Сертоли (у мужчин),
Маркер овариального резерва (у женщин)","Inhibin B,
Inh-B,
Serum inhibin B,
Follicular inhibin,
Sertoli cell marker (in males),
Ovarian reserve marker (in females),
Inhibin beta B subunit,
INHBB"
,,,пг/мл,25,325,"18-90 лет, муж.",,,,,,,
,,,пг/мл,0,83,"0-18 лет, жен.",,,,,,,
,,,пг/мл,0,341,"18-90 лет, жен.",,,,,,,
,,,пг/мл,0,273,"18-90 лет, жен. (менструальная фаза)",,,,,,,
,,,пг/мл,0,5.79,"18-90 лет, жен. (постменопауза)",,,,,,,
Антимюллеров гормон (AMH/MIS),Антимюллеров гормон (AMH/MIS),Сыв-ка крови,нг/мл,0.96,13.34,"18-26 лет, жен.",,,Иммунохемилюминесцентный анализ.,,,"АМГ,
Анти-Мюллеров гормон,
Антимюллеровский гормон,
Гормон ингибирующий Мюллеров проток,
MIS (Müllerian-inhibiting substance),
Сывороточный AMH,
Маркер овариального резерва,
Маркер функции яичек (у мужчин)","AMH,
Anti-Müllerian hormone,
Müllerian-inhibiting hormone (MIH),
Müllerian-inhibiting substance (MIS),
Serum AMH,
Ovarian reserve marker,
Testicular function marker (in males),
MIS/AMH protein"
,,,нг/мл,0.17,7.37,"26-31 год, жен.",,,,,,,
,,,нг/мл,0.07,7.35,"31-36 лет, жен.",,,,,,,
,,,нг/мл,0.03,7.15,"36-41 год, жен.",,,,,,,
,,,нг/мл,0,3.27,"41-46 лет, жен.",,,,,,,
,,,нг/мл,0,1.15,"46-90 лет, жен.",,,,,,,
,,,нг/мл,0.73,16.05,"18-90 лет, муж.",,,,,,,
"Тестостерон, общий","Тестостерон, общий",Сыв-ка крови,нмоль/л,0.36,15.08,0-12 месяцев муж.,,,ИХЛА,,,"Общий тестостерон,
Тестостерон (тотальный),
Т-гормон,
Андроген стероидный,
17-бета-гидроксиандрост-4-ен-3-он,
Тестостерон сывороточный,
Маркер андрогенного статуса,
ГСПГ-связанный + свободный тестостерон","Testosterone total,
Total testosterone,
T-hormone,
Steroid androgen,
17-beta-hydroxyandrost-4-en-3-one,
Serum testosterone,
Androgenic status marker,
SHBG-bound + free testosterone"
,,,нмоль/л,0.42,2.77,0-12 месяцев жен.,,,,,,,
,,,нмоль/л,0.28,1.48,1-5 лет муж.,,,,,,,
,,,нмоль/л,0.28,1.25,1-5 лет жен.,,,,,,,
,,,нмоль/л,0.47,1.96,6-10 лет муж.,,,,,,,
,,,нмоль/л,0.43,2.9,6-10 лет жен.,,,,,,,
,,,нмоль/л,0.65,19.29,11-14 лет муж.,,,,,,,
,,,нмоль/л,0.9,4.06,11-14 лет жен.,,,,,,,
,,,нмоль/л,4.70,41.68,15-20 лет муж.,,,,,,,
,,,нмоль/л,1.35,4.76,15-20 лет жен.,,,,,,,
,,,нмоль/л,6.03,29.25,21-90 лет муж.,,,,,,,
,,,нмоль/л,0.5,4.06,21-90 лет жен.,,,,,,,
,,,нмоль/л,0.55,3.47,Менопауза,,,,,,,
