row_number,status,review_comment,raw_line,columns_count,parsed_service,parsed_test,parsed_biomaterial,parsed_unit,parsed_method
1324,invalid_column_count,invalid_column_count,"P4,",2,P4,,,,
1325,invalid_column_count,invalid_column_count,"Corpus luteum hormone,",2,Corpus luteum hormone,,,,
1326,invalid_column_count,invalid_column_count,"Luteal hormone,",2,Luteal hormone,,,,
1327,invalid_column_count,invalid_column_count,"Gestagen,",2,Gestagen,,,,
1328,invalid_column_count,invalid_column_count,"Serum progesterone,",2,Serum progesterone,,,,
1329,invalid_column_count,invalid_column_count,"Pregnancy hormone""",1,Pregnancy hormone,,,,
1330,needs_review,unit_conflict_for_same_test_context,",,,нмоль/л,0,1.1,1-10 лет муж.,,,,,,,",14,СОЭ,СОЭ,Кровь венозная с ЭДТА,нмоль/л,Метод Вестергрена
1347,invalid_column_count,invalid_column_count,"17-ОН-прогестерон,17-ОН-прогестерон,Сыв-ка крови,нмоль/л,0.2,2.3,Новорожденные,,,ИФА,,,""17-ОП,",13,17-ОН-прогестерон,17-ОН-прогестерон,Сыв-ка крови,нмоль/л,ИФА
1348,invalid_column_count,invalid_column_count,"17-гидроксипрогестерон,",2,17-гидроксипрогестерон,,,,
1349,invalid_column_count,invalid_column_count,"17-OH-прогестерон,",2,17-OH-прогестерон,,,,
1350,invalid_column_count,invalid_column_count,"17-OHP,",2,17-OHP,,,,
1351,invalid_column_count,invalid_column_count,"17α-гидроксипрогестерон,",2,17α-гидроксипрогестерон,,,,
1352,invalid_column_count,invalid_column_count,"Прогестерон-17-ОН,",2,Прогестерон-17-ОН,,,,
1353,invalid_column_count,invalid_column_count,"Стероидный промежуточный метаболит"",""17-OH-progesterone,",2,"Стероидный промежуточный метаболит,17-OH-progesterone",,,,
1354,invalid_column_count,invalid_column_count,"17-hydroxyprogesterone,",2,17-hydroxyprogesterone,,,,
1355,invalid_column_count,invalid_column_count,"17-OHP,",2,17-OHP,,,,
1356,invalid_column_count,invalid_column_count,"17α-hydroxyprogesterone,",2,17α-hydroxyprogesterone,,,,
1357,invalid_column_count,invalid_column_count,"Progesterone-17-OH,",2,Progesterone-17-OH,,,,
1358,invalid_column_count,invalid_column_count,"Steroid intermediate metabolite""",1,Steroid intermediate metabolite,,,,
1371,invalid_column_count,invalid_column_count,"Ингибин В,Ингибин В,Сыв-ка крови,пг/мл,4,352,""0-18 лет, муж."",,,Иммуноферментный анализ (ИФА).,,,""Ингибин Б,",13,Ингибин В,Ингибин В,Сыв-ка крови,пг/мл,Иммуноферментный анализ (ИФА).
1372,invalid_column_count,invalid_column_count,"Ингибин-Б,",2,Ингибин-Б,,,,
1373,invalid_column_count,invalid_column_count,"Гормон ингибин В,",2,Гормон ингибин В,,,,
1374,invalid_column_count,invalid_column_count,"ИнгБ,",2,ИнгБ,,,,
1375,invalid_column_count,invalid_column_count,"Inhibin B,",2,Inhibin B,,,,
1376,invalid_column_count,invalid_column_count,"Сывороточный ингибин В,",2,Сывороточный ингибин В,,,,
1377,invalid_column_count,invalid_column_count,"Фолликулярный ингибин,",2,Фолликулярный ингибин,,,,
1378,invalid_column_count,invalid_column_count,"Маркер функции Сертоли (у мужчин),",2,Маркер функции Сертоли (у мужчин),,,,
1379,invalid_column_count,invalid_column_count,"Маркер овариального резерва (у женщин)"",""Inhibin B,",2,"Маркер овариального резерва (у женщин),Inhibin B",,,,
1380,invalid_column_count,invalid_column_count,"Inh-B,",2,Inh-B,,,,
1381,invalid_column_count,invalid_column_count,"Serum inhibin B,",2,Serum inhibin B,,,,
1382,invalid_column_count,invalid_column_count,"Follicular inhibin,",2,Follicular inhibin,,,,
1383,invalid_column_count,invalid_column_count,"Sertoli cell marker (in males),",2,Sertoli cell marker (in males),,,,
1384,invalid_column_count,invalid_column_count,"Ovarian reserve marker (in females),",2,Ovarian reserve marker (in females),,,,
1385,invalid_column_count,invalid_column_count,"Inhibin beta B subunit,",2,Inhibin beta B subunit,,,,
1386,invalid_column_count,invalid_column_count,"INHBB""",1,INHBB,,,,
1387,needs_review,unit_conflict_for_same_test_context,",,,пг/мл,25,325,""18-90 лет, муж."",,,,,,,",14,СОЭ,СОЭ,Кровь венозная с ЭДТА,пг/мл,Метод Вестергрена
1392,invalid_column_count,invalid_column_count,"Антимюллеров гормон (AMH/MIS),Антимюллеров гормон (AMH/MIS),Сыв-ка крови,нг/мл,0.96,13.34,""18-26 лет, жен."",,,Иммунохемилюминесцентный анализ.,,,""АМГ,",13,Антимюллеров гормон (AMH/MIS),Антимюллеров гормон (AMH/MIS),Сыв-ка крови,нг/мл,Иммунохемилюминесцентный анализ.
1393,invalid_column_count,invalid_column_count,"Анти-Мюллеров гормон,",2,Анти-Мюллеров гормон,,,,
1394,invalid_column_count,invalid_column_count,"Антимюллеровский гормон,",2,Антимюллеровский гормон,,,,
1395,invalid_column_count,invalid_column_count,"Гормон ингибирующий Мюллеров проток,",2,Гормон ингибирующий Мюллеров проток,,,,
1396,invalid_column_count,invalid_column_count,"MIS (Müllerian-inhibiting substance),",2,MIS (Müllerian-inhibiting substance),,,,
1397,invalid_column_count,invalid_column_count,"Сывороточный AMH,",2,Сывороточный AMH,,,,
1398,invalid_column_count,invalid_column_count,"Маркер овариального резерва,",2,Маркер овариального резерва,,,,
1399,invalid_column_count,invalid_column_count,"Маркер функции яичек (у мужчин)"",""AMH,",2,"Маркер функции яичек (у мужчин),AMH",,,,
1400,invalid_column_count,invalid_column_count,"Anti-Müllerian hormone,",2,Anti-Müllerian hormone,,,,
1401,invalid_column_count,invalid_column_count,"Müllerian-inhibiting hormone (MIH),",2,Müllerian-inhibiting hormone (MIH),,,,
1402,invalid_column_count,invalid_column_count,"Müllerian-inhibiting substance (MIS),",2,Müllerian-inhibiting substance (MIS),,,,
1403,invalid_column_count,invalid_column_count,"Serum AMH,",2,Serum AMH,,,,
1404,invalid_column_count,invalid_column_count,"Ovarian reserve marker,",2,Ovarian reserve marker,,,,
1405,invalid_column_count,invalid_column_count,"Testicular function marker (in males),",2,Testicular function marker (in males),,,,
1406,invalid_column_count,invalid_column_count,"MIS/AMH protein""",1,MIS/AMH protein,,,,
1407,needs_review,unit_conflict_for_same_test_context,",,,нг/мл,0.17,7.37,""26-31 год, жен."",,,,,,,",14,СОЭ,СОЭ,Кровь венозная с ЭДТА,нг/мл,Метод Вестергрена
1413,invalid_column_count,invalid_column_count,"""Тестостерон, общий"",""Тестостерон, общий"",Сыв-ка крови,нмоль/л,0.36,15.08,0-12 месяцев муж.,,,ИХЛА,,,""Общий тестостерон,",13,"Тестостерон, общий","Тестостерон, общий",Сыв-ка крови,нмоль/л,ИХЛА
1414,invalid_column_count,invalid_column_count,"Тестостерон (тотальный),",2,Тестостерон (тотальный),,,,
1415,invalid_column_count,invalid_column_count,"Т-гормон,",2,Т-гормон,,,,
1416,invalid_column_count,invalid_column_count,"Андроген стероидный,",2,Андроген стероидный,,,,
1417,invalid_column_count,invalid_column_count,"17-бета-гидроксиандрост-4-ен-3-он,",2,17-бета-гидроксиандрост-4-ен-3-он,,,,
1418,invalid_column_count,invalid_column_count,"Тестостерон сывороточный,",2,Тестостерон сывороточный,,,,
1419,invalid_column_count,invalid_column_count,"Маркер андрогенного статуса,",2,Маркер андрогенного статуса,,,,
1420,invalid_column_count,invalid_column_count,"ГСПГ-связанный + свободный тестостерон"",""Testosterone total,",2,"ГСПГ-связанный + свободный тестостерон,Testosterone total",,,,
1421,invalid_column_count,invalid_column_count,"Total testosterone,",2,Total testosterone,,,,
1422,invalid_column_count,invalid_column_count,"T-hormone,",2,T-hormone,,,,
1423,invalid_column_count,invalid_column_count,"Steroid androgen,",2,Steroid androgen,,,,
1424,invalid_column_count,invalid_column_count,"17-beta-hydroxyandrost-4-en-3-one,",2,17-beta-hydroxyandrost-4-en-3-one,,,,
1425,invalid_column_count,invalid_column_count,"Serum testosterone,",2,Serum testosterone,,,,
1426,invalid_column_count,invalid_column_count,"Androgenic status marker,",2,Androgenic status marker,,,,
1427,invalid_column_count,invalid_column_count,"SHBG-bound + free testosterone""",1,SHBG-bound + free testosterone,,,,
1440,invalid_column_count,invalid_column_count,"""Тестостерон, свободный"",""Тестостерон, свободный"",Сыв-ка крови,пг/мл,3.84,34.17,муж.,,,ИФА,,,""Свободный тестостерон,",13,"Тестостерон, свободный","Тестостерон, свободный",Сыв-ка крови,пг/мл,ИФА
1441,invalid_column_count,invalid_column_count,"Несвязанный тестостерон,",2,Несвязанный тестостерон,,,,
1442,invalid_column_count,invalid_column_count,"Тестостерон свободная фракция,",2,Тестостерон свободная фракция,,,,
1443,invalid_column_count,invalid_column_count,"fT,",2,fT,,,,
1444,invalid_column_count,invalid_column_count,"Free Testosterone,",2,Free Testosterone,,,,
1445,invalid_column_count,invalid_column_count,"Активная фракция тестостерона,",2,Активная фракция тестостерона,,,,
1446,invalid_column_count,invalid_column_count,"Тестостерон не связанный с ГСПГ"",""Free testosterone,",2,"Тестостерон не связанный с ГСПГ,Free testosterone",,,,
1447,invalid_column_count,invalid_column_count,"Unbound testosterone,",2,Unbound testosterone,,,,
1448,invalid_column_count,invalid_column_count,"Testosterone free fraction,",2,Testosterone free fraction,,,,
1449,invalid_column_count,invalid_column_count,"fT,",2,fT,,,,
1450,invalid_column_count,invalid_column_count,"Bioavailable testosterone fraction,",2,Bioavailable testosterone fraction,,,,
1451,invalid_column_count,invalid_column_count,"Non-SHBG-bound testosterone""",1,Non-SHBG-bound testosterone,,,,
1497,invalid_column_count,invalid_column_count,"Эстриол свободный (Е3),Эстриол свободный (Е3),Сыв-ка крови,нмоль/л,0.49,2.12,жен. беременные 14 неделя,,,ИХЛА,,,""Свободный эстриол,",13,Эстриол свободный (Е3),Эстриол свободный (Е3),Сыв-ка крови,нмоль/л,ИХЛА
1498,invalid_column_count,invalid_column_count,"Неконъюгированный эстриол,",2,Неконъюгированный эстриол,,,,
1499,invalid_column_count,invalid_column_count,"Е3 свободный,",2,Е3 свободный,,,,
1500,invalid_column_count,invalid_column_count,"Эстриол (несвязанная фракция),",2,Эстриол (несвязанная фракция),,,,
1501,invalid_column_count,invalid_column_count,"uE3 (unconjugated estriol),",2,uE3 (unconjugated estriol),,,,
1502,invalid_column_count,invalid_column_count,"Эстриол в сыворотке,",2,Эстриол в сыворотке,,,,
1503,invalid_column_count,invalid_column_count,"Маркер пренатального скрининга"",""Free estriol,",2,"Маркер пренатального скрининга,Free estriol",,,,
1504,invalid_column_count,invalid_column_count,"Unconjugated estriol,",2,Unconjugated estriol,,,,
1505,invalid_column_count,invalid_column_count,"uE3,",2,uE3,,,,
1506,invalid_column_count,invalid_column_count,"Estriol (free fraction),",2,Estriol (free fraction),,,,
1507,invalid_column_count,invalid_column_count,"Serum estriol,",2,Serum estriol,,,,
1508,invalid_column_count,invalid_column_count,"Prenatal screening marker,",2,Prenatal screening marker,,,,
1509,invalid_column_count,invalid_column_count,"E3 (free)""",1,E3 (free),,,,
1510,needs_review,unit_conflict_for_same_test_context,",,,нмоль/л,0.91,2.98,жен. беременные 15 неделя,,,,,,,",14,свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),Сыв-ка крови,нмоль/л,ИХЛА
1515,invalid_column_count,invalid_column_count,"Ассоциированный с беременностью плазменный белок А (РАРР-А),Ассоциированный с беременностью плазменный белок А (РАРР-А),Сыв-ка крови,мМЕ/мл,0.17,1.54,жен. беременные 8 неделя,,,ИХЛА,,,""ПАПП-А,",13,Ассоциированный с беременностью плазменный белок А (РАРР-А),Ассоциированный с беременностью плазменный белок А (РАРР-А),Сыв-ка крови,мМЕ/мл,ИХЛА
1516,invalid_column_count,invalid_column_count,"Плазменный белок А,",2,Плазменный белок А,,,,
1517,invalid_column_count,invalid_column_count,"ассоциированный с беременностью,",2,ассоциированный с беременностью,,,,
1518,invalid_column_count,invalid_column_count,"Ассоциированный с беременностью плазменный белок А,",2,Ассоциированный с беременностью плазменный белок А,,,,
1519,invalid_column_count,invalid_column_count,"PAPP-A,",2,PAPP-A,,,,
1520,invalid_column_count,invalid_column_count,"Белок PAPP-A,",2,Белок PAPP-A,,,,
1521,invalid_column_count,invalid_column_count,"ПАПП-А в сыворотке,",2,ПАПП-А в сыворотке,,,,
1522,invalid_column_count,invalid_column_count,"Маркер пренатального скрининга"",""PAPP-A,",2,"Маркер пренатального скрининга,PAPP-A",,,,
1523,invalid_column_count,invalid_column_count,"Pregnancy-associated plasma protein A,",2,Pregnancy-associated plasma protein A,,,,
1524,invalid_column_count,invalid_column_count,"PAPP-A protein,",2,PAPP-A protein,,,,
1525,invalid_column_count,invalid_column_count,"Serum PAPP-A,",2,Serum PAPP-A,,,,
1526,invalid_column_count,invalid_column_count,"Prenatal screening marker,",2,Prenatal screening marker,,,,
1527,invalid_column_count,invalid_column_count,"PAPP-A marker""",1,PAPP-A marker,,,,
1528,needs_review,unit_conflict_for_same_test_context,",,,мМЕ/мл,0.32,2.42,жен. беременные 9 неделя,,,,,,,",14,свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),Сыв-ка крови,мМЕ/мл,ИХЛА
1533,invalid_column_count,invalid_column_count,"Плацентарный лактоген,Плацентарный лактоген,Сыв-ка крови,мн/л,0.05,1.0,жен. беременные 0-19 неделя,,,ИФА,,,""Плацентарный лактоген,",13,Плацентарный лактоген,Плацентарный лактоген,Сыв-ка крови,мн/л,ИФА
1534,invalid_column_count,invalid_column_count,"Человеческий плацентарный лактоген,",2,Человеческий плацентарный лактоген,,,,
1535,invalid_column_count,invalid_column_count,"Хорионический соматомаммотропин,",2,Хорионический соматомаммотропин,,,,
1536,invalid_column_count,invalid_column_count,"ПЛ,",2,ПЛ,,,,
1537,invalid_column_count,invalid_column_count,"hPL,",2,hPL,,,,
1538,invalid_column_count,invalid_column_count,"Плацентарный лактоген в сыворотке"",""Placental lactogen,",2,"Плацентарный лактоген в сыворотке,Placental lactogen",,,,
1539,invalid_column_count,invalid_column_count,"Human placental lactogen,",2,Human placental lactogen,,,,
1540,invalid_column_count,invalid_column_count,"Chorionic somatomammotropin,",2,Chorionic somatomammotropin,,,,
1541,invalid_column_count,invalid_column_count,"hPL,",2,hPL,,,,
1542,invalid_column_count,invalid_column_count,"PL,",2,PL,,,,
1543,invalid_column_count,invalid_column_count,"Serum placental lactogen""",1,Serum placental lactogen,,,,
1544,needs_review,unit_conflict_for_same_test_context,",,,мн/л,1.5,3.0,жен. беременные 20-21 неделя,,,,,,,",14,свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),Сыв-ка крови,мн/л,ИХЛА
1550,invalid_column_count,invalid_column_count,"Антиспермальные антитела в сыворотке,Антиспермальные антитела в сыворотке,Сыв-ка крови,МЕ/мл,0,54.99,,,,ИФА,,,""Антиспермальные антитела (крови),",13,Антиспермальные антитела в сыворотке,Антиспермальные антитела в сыворотке,Сыв-ка крови,МЕ/мл,ИФА
1551,invalid_column_count,invalid_column_count,"АСАТ в сыворотке,",2,АСАТ в сыворотке,,,,
1552,invalid_column_count,invalid_column_count,"Антитела к сперматозоидам (сыворотка),",2,Антитела к сперматозоидам (сыворотка),,,,
1553,invalid_column_count,invalid_column_count,"Иммунологическое бесплодие (скрининг),",2,Иммунологическое бесплодие (скрининг),,,,
1554,invalid_column_count,invalid_column_count,"MAR-тест сыворотки"",""Antisperm antibodies (serum),",2,"MAR-тест сыворотки,Antisperm antibodies (serum)",,,,
1555,invalid_column_count,invalid_column_count,"ASA (serum),",2,ASA (serum),,,,
1556,invalid_column_count,invalid_column_count,"Sperm antibodies (serum),",2,Sperm antibodies (serum),,,,
1557,invalid_column_count,invalid_column_count,"Immunological infertility screening,",2,Immunological infertility screening,,,,
1558,invalid_column_count,invalid_column_count,"MAR test (serum)""",1,MAR test (serum),,,,
1559,invalid_column_count,invalid_column_count,"Антиспермальные антитела в сперме IgA,Антиспермальные антитела в сперме IgA,Сперма,%,0,50,,,,МАР-тест (смешанная антиголобулинвоая реакция),,,""АСАТ IgA в сперме,",13,Антиспермальные антитела в сперме IgA,Антиспермальные антитела в сперме IgA,Сперма,%,МАР-тест (смешанная антиголобулинвоая реакция)
1560,invalid_column_count,invalid_column_count,"Антиспермальные IgA-антитела (эякулят),",2,Антиспермальные IgA-антитела (эякулят),,,,
1561,invalid_column_count,invalid_column_count,"Иммуноглобулины класса A к сперматозоидам,",2,Иммуноглобулины класса A к сперматозоидам,,,,
1562,invalid_column_count,invalid_column_count,"Аутоантитела IgA к антигенам спермы,",2,Аутоантитела IgA к антигенам спермы,,,,
1563,invalid_column_count,invalid_column_count,"MAR-тест IgA (сперма),",2,MAR-тест IgA (сперма),,,,
1564,invalid_column_count,invalid_column_count,"Посткоитальный тест на IgA"",""Sperm IgA antibodies,",2,"Посткоитальный тест на IgA,Sperm IgA antibodies",,,,
1565,invalid_column_count,invalid_column_count,"Anti-sperm IgA (semen),",2,Anti-sperm IgA (semen),,,,
1566,invalid_column_count,invalid_column_count,"Immunoglobulin A sperm antibodies,",2,Immunoglobulin A sperm antibodies,,,,
1567,invalid_column_count,invalid_column_count,"IgA antisperm autoantibodies,",2,IgA antisperm autoantibodies,,,,
1568,invalid_column_count,invalid_column_count,"MAR test IgA (semen),",2,MAR test IgA (semen),,,,
1569,invalid_column_count,invalid_column_count,"Postcoital test for IgA""",1,Postcoital test for IgA,,,,
1570,invalid_column_count,invalid_column_count,"Антиспермальные антитела в сперме IgG,Антиспермальные антитела в сперме IgG,Сперма,%,0,50,,,,МАР-тест (смешанная антиголобулинвоая реакция),,,""АСАТ IgG в сперме,",13,Антиспермальные антитела в сперме IgG,Антиспермальные антитела в сперме IgG,Сперма,%,МАР-тест (смешанная антиголобулинвоая реакция)
1571,invalid_column_count,invalid_column_count,"Антиспермальные IgG-антитела (эякулят),",2,Антиспермальные IgG-антитела (эякулят),,,,
1572,invalid_column_count,invalid_column_count,"Иммуноглобулины класса G к сперматозоидам,",2,Иммуноглобулины класса G к сперматозоидам,,,,
1573,invalid_column_count,invalid_column_count,"Аутоантитела IgG к антигенам спермы,",2,Аутоантитела IgG к антигенам спермы,,,,
1574,invalid_column_count,invalid_column_count,"MAR-тест IgG (сперма),",2,MAR-тест IgG (сперма),,,,
1575,invalid_column_count,invalid_column_count,"Посткоитальный тест на IgG"",""Sperm IgG antibodies,",2,"Посткоитальный тест на IgG,Sperm IgG antibodies",,,,
1576,invalid_column_count,invalid_column_count,"Anti-sperm IgG (semen),",2,Anti-sperm IgG (semen),,,,
1577,invalid_column_count,invalid_column_count,"Immunoglobulin G sperm antibodies,",2,Immunoglobulin G sperm antibodies,,,,
1578,invalid_column_count,invalid_column_count,"IgG antisperm autoantibodies,",2,IgG antisperm autoantibodies,,,,
1579,invalid_column_count,invalid_column_count,"MAR test IgG (semen),",2,MAR test IgG (semen),,,,
1580,invalid_column_count,invalid_column_count,"Postcoital test for IgG""",1,Postcoital test for IgG,,,,
1581,invalid_column_count,invalid_column_count,"Кортизол,Кортизол,Сыв-ка крови,нмоль/л,83,580,1-16 лет,,,ИФА,Гормональные исследования,Гормоны надпочечниковой системы		,""Кортизол,",13,Кортизол,Кортизол,Сыв-ка крови,нмоль/л,ИФА
1582,invalid_column_count,invalid_column_count,"Гидрокортизон,",2,Гидрокортизон,,,,
1583,invalid_column_count,invalid_column_count,"Кортизол в сыворотке,",2,Кортизол в сыворотке,,,,
1584,invalid_column_count,invalid_column_count,"Кортизол в крови,",2,Кортизол в крови,,,,
1585,invalid_column_count,invalid_column_count,"17-гидроксикортикостерон,",2,17-гидроксикортикостерон,,,,
1586,invalid_column_count,invalid_column_count,"Соединение F"",""Cortisol,",2,"Соединение F,Cortisol",,,,
1587,invalid_column_count,invalid_column_count,"Hydrocortisone,",2,Hydrocortisone,,,,
1588,invalid_column_count,invalid_column_count,"Compound F,",2,Compound F,,,,
1589,invalid_column_count,invalid_column_count,"Serum cortisol,",2,Serum cortisol,,,,
1590,invalid_column_count,invalid_column_count,"Plasma cortisol""",1,Plasma cortisol,,,,
1592,invalid_column_count,invalid_column_count,"Дегидроэпиандростерон-сульфат (ДГЭА-С),Дегидроэпиандростерон-сульфат (ДГЭА-С),Сыв-ка крови,мкмоль/л,0.2,8.6,1-30 дней муж.,,,ИХЛА,,,""ДГЭА-С,",13,Дегидроэпиандростерон-сульфат (ДГЭА-С),Дегидроэпиандростерон-сульфат (ДГЭА-С),Сыв-ка крови,мкмоль/л,ИХЛА
1593,invalid_column_count,invalid_column_count,"ДГЭА-S,",2,ДГЭА-S,,,,
1594,invalid_column_count,invalid_column_count,"Дегидроэпиандростерон сульфат,",2,Дегидроэпиандростерон сульфат,,,,
1595,invalid_column_count,invalid_column_count,"Дегидроизоандростерон сульфат,",2,Дегидроизоандростерон сульфат,,,,
1596,invalid_column_count,invalid_column_count,"ДГЭА в сульфатной форме"",""DHEA-S,",2,"ДГЭА в сульфатной форме,DHEA-S",,,,
1597,invalid_column_count,invalid_column_count,"Dehydroepiandrosterone sulfate,",2,Dehydroepiandrosterone sulfate,,,,
1598,invalid_column_count,invalid_column_count,"Dehydroisoandrosterone sulfate""",1,Dehydroisoandrosterone sulfate,,,,
1599,needs_review,unit_conflict_for_same_test_context,",,,мкмоль/л,0.4,7.1,1-30 дней жен.,,,,,,,",14,свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),Сыв-ка крови,мкмоль/л,ИХЛА
1622,invalid_column_count,invalid_column_count,"Адренокортикотропный гормон (АКТГ),Адренокортикотропный гормон (АКТГ),Плазма ЭДТА,пмоль/л,1.6,6.9,,,,ЭХЛА,,,""АКТГ,",13,Адренокортикотропный гормон (АКТГ),Адренокортикотропный гормон (АКТГ),Плазма ЭДТА,пмоль/л,ЭХЛА
1623,invalid_column_count,invalid_column_count,"Кортикотропин,",2,Кортикотропин,,,,
1624,invalid_column_count,invalid_column_count,"Адренокортикотропный гормон,",2,Адренокортикотропный гормон,,,,
1625,invalid_column_count,invalid_column_count,"АКТГ в плазме,",2,АКТГ в плазме,,,,
1626,invalid_column_count,invalid_column_count,"АКТГ в сыворотке"",""ACTH,",2,"АКТГ в сыворотке,ACTH",,,,
1627,invalid_column_count,invalid_column_count,"Adrenocorticotropic hormone,",2,Adrenocorticotropic hormone,,,,
1628,invalid_column_count,invalid_column_count,"Corticotropin,",2,Corticotropin,,,,
1629,invalid_column_count,invalid_column_count,"Serum ACTH,",2,Serum ACTH,,,,
1630,invalid_column_count,invalid_column_count,"Plasma ACTH""",1,Plasma ACTH,,,,
1631,invalid_column_count,invalid_column_count,"Андростендион,Андростендион,Сыв-ка крови,нмоль/л,2.1,10.8,муж.,,,ИХЛА,,,""Андростендион,",13,Андростендион,Андростендион,Сыв-ка крови,нмоль/л,ИХЛА
1632,invalid_column_count,invalid_column_count,"Андрост-4-ен-3,17-дион,",3,Андрост-4-ен-3,17-дион,,,
1633,invalid_column_count,invalid_column_count,"Дегидроэпиандростерон метаболит"",""Androstenedione,",2,"Дегидроэпиандростерон метаболит,Androstenedione",,,,
1634,invalid_column_count,invalid_column_count,"Andro,",2,Andro,,,,
1635,invalid_column_count,invalid_column_count,"Androst-4-ene-3,17-dione""",2,Androst-4-ene-3,17-dione,,,
1637,invalid_column_count,invalid_column_count,"Андростендион глюкуронид,Андростендион глюкуронид,Сыв-ка крови,нг/мл,1.53,14.82,муж.,,,ИФА,,,""Андростендион-глюкуронид,",13,Андростендион глюкуронид,Андростендион глюкуронид,Сыв-ка крови,нг/мл,ИФА
1638,invalid_column_count,invalid_column_count,"3α-диол-G,",2,3α-диол-G,,,,
1639,invalid_column_count,invalid_column_count,"3α-андростандиол глюкуронид"",""Androstenedione glucuronide,",2,"3α-андростандиол глюкуронид,Androstenedione glucuronide",,,,
1640,invalid_column_count,invalid_column_count,"3α-diol-G,",2,3α-diol-G,,,,
1641,invalid_column_count,invalid_column_count,"3α-androstanediol glucuronide""",1,3α-androstanediol glucuronide,,,,
1642,needs_review,unit_conflict_for_same_test_context,",,,нг/мл,0.51,4.03,8-13 лет жен. ,,,,,,,",14,свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),свободный бетта-субъединица хорионического гонадотропина человека (Свободный бетта-ХГЧ),Сыв-ка крови,нг/мл,ИХЛА
1645,invalid_column_count,invalid_column_count,"Альдостерон,Альдостерон,Сыв-ка крови,пг/мл,25.0,315.0,,,,ИФА,,,""Альдостерон,",13,Альдостерон,Альдостерон,Сыв-ка крови,пг/мл,ИФА
1646,invalid_column_count,invalid_column_count,"Альдостерон в сыворотке,",2,Альдостерон в сыворотке,,,,
1647,invalid_column_count,invalid_column_count,"Альдостерон в плазме,",2,Альдостерон в плазме,,,,
1648,invalid_column_count,invalid_column_count,"Электрокортин"",""Aldosterone,",2,"Электрокортин,Aldosterone",,,,
1649,invalid_column_count,invalid_column_count,"Serum aldosterone,",2,Serum aldosterone,,,,
1650,invalid_column_count,invalid_column_count,"Plasma aldosterone,",2,Plasma aldosterone,,,,
1651,invalid_column_count,invalid_column_count,"Electrocortin""",1,Electrocortin,,,,
1652,invalid_column_count,invalid_column_count,"Ренин (прямое определение),Ренин (прямое определение),Плазма ЭДТА,мкМЕд/мл,4.2,45.6,,,,РИА,,,""Ренин,",13,Ренин (прямое определение),Ренин (прямое определение),Плазма ЭДТА,мкМЕд/мл,РИА
1653,invalid_column_count,invalid_column_count,"Прямой ренин,",2,Прямой ренин,,,,
1654,invalid_column_count,invalid_column_count,"Ренин активный,",2,Ренин активный,,,,
1655,invalid_column_count,invalid_column_count,"Ренин в плазме,",2,Ренин в плазме,,,,
1656,invalid_column_count,invalid_column_count,"Ангиотензиногеназ"",""Renin,",2,"Ангиотензиногеназ,Renin",,,,
1657,invalid_column_count,invalid_column_count,"Direct renin,",2,Direct renin,,,,
1658,invalid_column_count,invalid_column_count,"Plasma renin,",2,Plasma renin,,,,
1659,invalid_column_count,invalid_column_count,"Plasma renin activity (PRA),",2,Plasma renin activity (PRA),,,,
1660,invalid_column_count,invalid_column_count,"Angiotensinogenase""",1,Angiotensinogenase,,,,
1661,invalid_column_count,invalid_column_count,"Альдостерон-рениновое соотношение,Альдостерон-рениновое соотношение,""Сыв-ка крови, плазма ЭДТА"",пг/мкМЕ,0,17.66 ,От 18 лет:(точка разделения при сравнении первичного альдостеронизма и эндокринных патологий без АГ),,,,,,""Ренин/Альдостерон,",13,Альдостерон-рениновое соотношение,Альдостерон-рениновое соотношение,"Сыв-ка крови, плазма ЭДТА",пг/мкМЕ,
1662,invalid_column_count,invalid_column_count,"Соотношение ренин/альдостерон,",2,Соотношение ренин/альдостерон,,,,
1663,invalid_column_count,invalid_column_count,ARR,1,ARR,,,,
1664,invalid_column_count,invalid_column_count,АРС,1,АРС,,,,
1665,invalid_column_count,invalid_column_count,"Альдостерон-рениновое соотношение "",""Aldosterone/Renin ratio,",2,"Альдостерон-рениновое соотношение ,Aldosterone/Renin ratio",,,,
1666,invalid_column_count,invalid_column_count,"ARR,",2,ARR,,,,
1667,invalid_column_count,invalid_column_count,"Aldosterone-to-Renin ratio""",1,Aldosterone-to-Renin ratio,,,,
1668,invalid_column_count,invalid_column_count,"Инсулин,Инсулин,Сыв-ка крови,мкМЕ/мл,2.6,24.9,,,,ЭХЛА,Гормональные исследования,Гормоны и маркёры поджелудочной железы		,""Инсулин,",13,Инсулин,Инсулин,Сыв-ка крови,мкМЕ/мл,ЭХЛА
